,Unnamed: 0,Unnamed: 0.1,Pr,Issue,Consumer complaint narrative,Company,State,sentimentValue
18308,18308,18308,Bank account or service,Problems caused by my funds being low,"In a nutshell ... Lets ' say I have XXXX in the bank and the bank has automatic draft coverage ( requested this to be removed ). There is a charge for XXXX and another charge for XXXX. Capital One will let the XXXX charge come and then the XXXX. By having the charges come out this way, Capital One has doubled its fee. Instead of XXXX, I am getting hit with XXXX. If Capital One tool the XXXX then the XXXX, it would be only once. They are engineering the process for their benefit. It is predatory. 
",Capital One,VA,0.0
18332,18332,18332,Consumer Loan,Managing the loan or lease,"On XXXX XXXX I paid off my wife car over the telephone with Capital one auto finance and they ACH the payment from my bank account. 4 months later I was checking my credit history on my capital one phone app and it showed me owing a balance {$270.00} I immediately contacted capital one cutover service and after 3 hours of them hanging up the phone on me I finally was able to reach XXXX ID # XXXX and he was the only one who showed me respect and was sincere in trying to help me. He gave me his extension number of XXXX he also connected to the president hotline and I talked with XXXX ID # XXXX and she said they would look into it and contact me back before XXXX and she did. She told me that a supervisor listen to the recording of my payoff from XXXX and that I was XXXX correct and the issue would be handle ASAP and the negative remarks would be removed from my credit report and that I would not owe anymore money for my car since I paid it off in XXXX. I asked why was I never notified and it took me calling four months later and she could not answer that question. I also asked if I would receive my title she said yes. Today I received and letter from capital one auto finance that said notice of strict enforcement of contract rights defending {$270.00} from me or my car will be repossess. I think this serious abuse of Captial one trying to bully me and it 's not fair. Please look into this matter for me. 

Sincerely XXXX XXXX 
",Capital One,FL,0.0469696969697
18365,18365,18365,Debt collection,Taking/threatening an illegal action,"I have received XXXX judgments along with garnishments against my paycheck on XXXX them. These were both Capital One Bank credit Cards that went into collection XXXX 2006. That is 10 years and 10 months ago. That would be 4 years 10 months past the State of Oregon 's Statute of Limitations on Collection Lawsuits. I called them to ask why they are garnishing my wages almost 11 years later, and I was told that would be giving legal advice! I now find myself unable to sustain monthly payments on my families utilities & falling behind across the board due to the flagrant and apparently illegal actions of this unethical collection / attorney firm. I cant afford to pay another attorney to stop the illegal garnishments and Statute of Limitations complete disregard.",Capital One,OR,-0.2125
18470,18470,18470,Bank account or service,Using a debit or ATM card,"I have a checking account with Capital One 360 that I 've had since XXXX. About a XXXX I went to use my ATM/check card for a gas purchase and the card was declined. Thinking it was the machine, I went to another location and again was declined. I contacted Capital One 360 customer service and was advised that my card had been "" deactivated '' and they had sent me a new card in the mail that I "" should '' have received by then. Capital One provided no communication to me ( I login to their website almost daily and a simple message or note would have sufficed ) and "" deactivated '' my card that was not yet expired so that they could provide me with the new updated card with the chip security feature. I 've since contacted Capital One and provided them with the opportunity to resolve this matter and am not satisfied with their explanation. They stated that because their rep. offered me the opportunity to get back into my car and drive back to the store to make a "" one time '' withdrawal/ purchase and then they would "" deactivate '' my card again. I do not feel that it is acceptable to say "" because we gave you the opportunity to go out of your way and make a one time/ educated decision on how much money you need to withdraw, we feel we have corrected the situation ''. The fact of the matter is that my card was not expired and the entire situation could have been handled differently to avoid putting me the "" consumer '' at harm- again, this was the period right before XXXX. Heartless. I 've read the cardholder agreement and find no acceptable clause that relates to this issue and I do not find it to be legal or acceptable from a customer service standpoint. 
",Capital One,GA,0.0590367965368
19010,19010,19010,Bank account or service,Deposits and withdrawals,"I had a CapitalOne 360 checking account which I used for withdrawing cash for foreign travels. This checking account was used purely for that propose ; I would deposit funds occasionally on a needed basis. Several months ago, I phoned in the rep told me that if I open a savings account and deposit {$50000.00} and I would get {$500.00} bonus. I remembered that I was told that the funds need to come from an external source and I am certain that I was told specifically that the funds needs to be deposited to the new account directly ( otherwise I would definitely do that since the sole reason for me to open the savings account was the bonus ). I had direct deposit linked with my primary bank and so I transferred the fund to CaptialOne 360 checking account and then to the savings account. This to me followed the requirements called for the bonus. But now, Capital insisted that because the fund did not deposit directly to the savings account, it does not qualify. I have tried to reason with a supervisor as well as through their customer satisfaction department ; both declined to honor their original offer, citing that it does not meet the requirement. I felt this is an un-ethical practice they designed to scam the consumer. They provided no written statement ( paper or email ) about the requirement and simply mentioned it vaguely over the phone. Then their plan to decline any of such promise since most consumer will likely not qualify. I would like to see the payout vs declined ratio and see if they actually tried to game this. To me, the bonus is one thing but I felt this bank has no integrity. I would appreciate if appreciate action be taken and stop CapitalOne from any further fraudulent activity.",Capital One,MI,0.0485974025974
19096,19096,19096,Credit card,Identity theft / Fraud / Embezzlement,"Recently, a credit card bill came to my house from Capital One. The address was mine, but the addressee name was of no one in our household. I called Capital One to report the discrepancy. They asked me to return the bill back to them and told me that they would take care of the situation. The next month, I again received a credit card bill with the same unknown persons name as the addressee. I called their fraud department again and told me that they have opened up case on this. These credit card bills continue to arrive at my home address to this unknown person.",Capital One,IL,-0.0333333333333
19204,19204,19204,Debt collection,Cont'd attempts collect debt not owed,"The credit card account in question here - totaling {$17000.00} - was set up using my name and personal information that was shared with XXXX representatives of the XXXX XXXX XXXX. They ( names shown below ) had contacted me about money that I was to receive and I was told that they would cover all costs for the delivery of this money. There are so many fraudulent activities out there today that made me follow through in an attempt to verify the legality of their claim. Based on information I obtained, relative to this type of activity from competent sources, and multiple follow-up inquiries with the supposed representatives ( XXXX XXXX XXXX and XXXX XXXX XXXX ) I moved forward on their proposal. 
They were to take the information requested from me to set up accounts with XXXX banks necessary to deposit the required fees for the competition of all necessary payments prior to the release of the funds. Once the money was deposited into the accounts, I was to withdraw it and send it on to them for the payment of these required fees. 
When the money was deposited into the Capitol One bank account - that they had set up in my name - I sent it on to them as requested ( I was n't concerned at this point since this was their required fees and not my money ). As a security measure, I contacted the bank and talked to XXXX of their representatives to make sure that the money was legally on deposit and that it could be withdrawn. She informed me that it was okay to make the withdrawal. After my withdrawal, approved by XXXX XXXX, someone removed the deposit leaving the "" supposed legal responsibility '' in my name. 
In multiple attempted follow-up calls to XXXX XXXX and XXXX XXXX I received messages that said : "" This number is not receiving calls. '' After this occurred, I contacted Capitol One and talked to many representatives in a number of departments about the fraudulent action - all of whom would either not discuss it with me or said there was nothing they could do about it. 
I have submitted reports on this fraudulent activity to multiple federal agencies and my local police department and, as of this date, have gotten no resolution. Capitol One did agree to stop interest charges and at one time deposited that interest money back into the account. Since that time, they have begun making additional interest charges. 
The most recent contact with Capitol One was on XXXX XXXX, when I sent a "" return receipt '' letter to the person in their fraud department. He had requested this and said that he would follow up with me after my written communication. That has not happened, even though I received the return receipt from the post office. 
Since I did not set up this account and they released the money following my request for verification, I do not think that I am accountable for this account and the charges being made to me. Not one cent of this money was kept by me.",Capital One,OH,0.166666666667
19240,19240,19240,Credit card,Delinquent account,"I have been making on time payments to a Capital One XXXX but between the months of XXXX 2016 and XXXX 2016 it says I have made zero payments. This incorrect reporting to the credit bureau is hurting me. It says I have made {$0.00} payments to Capital One yet I have my bank statements AND payment history from Capital One website showing differently. I want Cap 1 to report correctly to show I made payments to them during those 4 months. I have been fighting this but they will not budge, even with proof they will not do anything.",Capital One,UT,0.0
19259,19259,19259,Credit card,Closing/Cancelling account,"Capital One closed XXXX of my credit card accounts which were all in good standing/ XXXX with XXXX balances. After condescendingly shuffling me from XXXX rep to next, they firmly stated there was nothing they could do and the card was closed for spending inconsistent to what 's expected. Seriously? I charged a XXXX item. They yanked XXXX in credit, which consequently destroyed my credit score by shattering my utilization! My score dropped nearly XXXX points. I was in the middle of applying for a refi on my house. Done. No one will even consider extending credit to me now thanks to this injustice! I asked them nicely if they could lower my interest rate since they destroyed any chances I will have at obtaining a consolidation loan. They denied this to me. I never once made a late payment to Capital One. They have destroyed my financial future by this unjustified action of which they treat me like a criminal over the phone. I am absolutely distraught over this. I recently changed careers due to health issues and this is further complicating my life!",Capital One,NY,-0.0295833333333
19355,19355,19355,Credit card,Closing/Cancelling account,"RE : Capital One Credit Card practices and the following message : This account is currently restricted. ( Ref. No. XXXX ) - which means the company closed the account without your permission. 

I submitted a payment which was linked between my Capital One Bank checking account and my Capital One Credit Card. After several days the funds were not showing on the credit card. I inquired as I was concerned over the amount of time it was taking for the processing of the funds between the accounts. I wanted to use the specific credit card for my travels that began on XX/XX/XXXX. I spoke with several people at Capital One Credit Card, they called the Capital One Bank and verified the funds. They put me through several 1 hour long waits ( not an exaggeration ) several times over several days ( XXXX ). The credit card side un-linked the accounts, they then advised me to Stop Payment - I did not stop the payment. Funds were verified. I never had a series of issues with the credit card before. Needless to say, the issue did not resolve and XX/XX/XXXX, approached, and I was forced to re-adjust my funds to insure that I could rent a car, purchase my hotel room, etc. as it was abundantly clear that I would not be able to use this specific credit card for all of the purposes I intended and it was too great of a risk to continue to hope for corrective or completed actions from the credit card company in finalizing and processing the payment. 

During the call with the Representative on the Credit Card side that requested permission to un-link the accounts and later during that same call, the same Representative pretended that he never asked to un-link the accounts and behaved as though he had no recollection of making that statement ( on an allegedly recorded line ). At some point after the "" un-linking '' the payment was then entered as a phone payment unknowingly to me. The Credit Card account now shows a transaction for XX/XX/XXXX, as a returned payment. After several phone calls, no one can explain or acknowledge any notes from the series of activities and numerous phone calls between me, the credit card company, and my bank. 

XX/XX/2016 - I paid my balance in full. Also, I noticed fees were accessed to my credit card for a returned payment from the XXXX activity. I called and requested that the fees be removed due the issues stated above. I was told as a courtesy they would remove the fees. 

XX/XX/2016 - I checked, and the fees had been credited, the account showed the full payment that was submitted on XX/XX/XXXX, and the account showed a surplus of funds due to over-payment as the fees were removed. However the account also was showing the following restriction : This account is currently restricted. ( Ref. No. XXXX ). I phoned and was advised that due to the Return payment from XXXX, the account had been closed, there is nothing that could be done about it. ( I spoke with XXXX and XXXX on XXXX at XXXX - my phone records are available ). 

This happened immediately after they received a full payment. No warnings, no letters/notices, just a closed account. I do n't know if this is a common practice or if this is retaliation because I advised during the XXXX problems that I would report my concerns and their practices. 

As it stands, I have an account paid it full and funds and a credit line that are no longer available to me without warning. I am happy to provide any documents of the account that you may need. 

Sincerely, XXXX Complaint Against : Capital One Credit Card for waiting for you to make a full payment and then closing the account without notice.",Capital One,MD,0.0737804878049
19384,19384,19384,Credit card,Other,"As part of a divorce settlement my wife assumed responsibility for three credit card accounts that had been opened under my name and SS #. All the accounts were in good standing at the date of this transfer ( XX/XX/XXXX ) with no history of late payments. Unbeknownst to me, my ex went to XXXX to renegotiate the interest rates and payment amount on all three accounts. She was successful, but somehow in the transition from normal status to the credit arrangement with XXXX a series of late payments were reported by the creditors against my credit history. There were a total of eight 30 day late payments reported in a 90 day period. These should not be reported against my credit history since I was no longer legally responsible for the payment on these accounts. My attempts to get this corrected have been unsuccessful. I have complained to the credit reporting agencies, to XXXX and to the creditors directly, all to no avail. These late payments are being wrongfully attributed to me and it has had a ruinous affect on my credit rating. As a consequence I can not rent property or attain any credit at all except at the highest interest rates.",Capital One,CO,0.0363636363636
19445,19445,19445,Credit card,Transaction issue,I established automatic payments on my kohls account. Something went wrong and the payments were not taken from my account. Kohls acknowledged that a problem existed and refunded the late fees but still reported as delinquent to the credit bureau.,Capital One,KY,-0.4
19450,19450,19450,Bank account or service,"Account opening, closing, or management","On or about XXXX XXXX, 2016 I went to Capital One bank branch at XXXX XXXX XXXX XXXXXXXX NY XXXX and submitted a request for cancelled checks indicated by check number. To date I have not received them. I need these in order to verify that payments were made to an estate or I will have to pay again if I can not provide cancelled checks.",Capital One,NY,0.0
19595,19595,19595,Bank account or service,"Account opening, closing, or management","I received an email asking me to contact the bank at its XXXX number on XX/XX/2016 It says to have restricted my accounts and if I do n't call within XXXX business days, they will close all my accounts. I called immediately and waited at least XXXX minutes. But no one from Capital One came on to talk to me. I finally gave up. I am afraid that if they close my accounts, all my scheduled payments will be declined and I will suffer a major financial distress. Please help.",Capital One,VA,-0.1675
19598,19598,19598,Debt collection,False statements or representation,"On XXXX/XXXX/2016 I contacted them XXXX XXXX XXXX XXXX XXXX to pay a debt owing on my credit report. I paid the debt in full and requested an email stating the debt had been paid in full. I explained that I was in the process of getting a mortgage and needed to do a rapid rescore with the credit. I have only worked with XXXX at ext. XXXX. She first stated that I would have to call back at XXXX XXXX the following day to get her to send email but that it would not be an issue. I called her back XXXX at XXXX she stated that she would send it out that it was right in front of her. I did not receive the email. I called her 8 times on XXXX each time she stated that they she spoke to her VP and he had to send the email but she would remind him. I do n't understand why I have been treated this way. I have a hard deadline to make to ensure financing for my new home. Called again at XXXX XXXX spoke to a XXXX XXXX. He stated that they could n't send out the email because of their law department and VP could n't get their system up and running. I paid my debt, it cleared my account but I ca n't get a email or fax showing that I paid my debt in full is criminal, Have been lied too twice about getting it done first yesterday XXXX and again today XXXX/XXXX/2016 
",Capital One,WA,0.0984931734932
19602,19602,19602,Debt collection,Cont'd attempts collect debt not owed,"Capital One placed a Judgment against me in 2011 for a debt I owed. My paycheck was garnished until the debt was satisfied. I have the satisfaction letter from the courts that the debt was paid. Now years later I am being harassed by the company Capital One uses to handle their collections. They claim I never paid the debt and are trying to get me to pay more money to satisfy the debt a second time. I have repeatedly told them that it was already taken care of and they will not listen. I try to call Capital One directly and they transfer me back to the collection company. To make it worse, Capital One is still reporting to the credit bureaus that I owe them money. I have sent numerous disputes to the bureaus to have this corrected and they are violating the Fair Credit Reporting Act by still reporting the balance. 

Please please help so I can move forward with my life! 
",Capital One,NY,0.175
19610,19610,19610,Credit card,Other fee,"Capital One Credit Card has been charging continuous regular interest rate plus cash advance interest rate, even the loan was fully paid. I used it again the following month after it was fully paid, and the usual interest kicks in including the cash advance that i took for {$200.00}, XX/XX/XXXX, and had been charging me interest since then till XX/XX/XXXX for almost $ XXXX/per month for the past 3years on top of the 25 % interest every month. Even I almost paid it off XX/XX/XXXX, but they are continuing to charge cash adv interest, thy offered me {$20.00} credit this month, but i told them that i will report them and the {$20.00}, is not enough credit for the interest they keep on billing me. They told me to call again next month to check and see if I was billed again for the cash adv int. but i just want to let you know for the credit card companies bad practice killing the small people, trying to keep afloat in this difficult times. 
",Capital One,CA,-0.131818181818
19621,19621,19621,Consumer Loan,Managing the loan or lease,"To my surprise I received a collections letter in the mail dated XXXX XXXX, XXXX indicating that my account was past due. My records indicate my last auto loan payment with Capital One was on XXXX XXXX. Account due date is the XXXX of every month. I did not understand why I did not make the XXXX payment. I thought it was my oversight. I called Capital One on XXXX XXXX to become current and made the XXXX and XXXX payments {$310.00} for each month for a total of {$630.00}. I asked the customer service agent to check if I was getting paperless statements and she said yes. I was shocked because I do n't go paperless for this exact reason- I forget when the bills are due. She indicated "" I '' switched to paperless on XXXX XXXX, XXXX. I told her I did not because the last time I went to pay was on XX/XX/XXXX. I only access my account once a month. I asked her to change my preferences to mail. I decided to check my e-mail and was surprised to find an unread XXXX XXXX e-mail from Capital One with the following headline : "" Auto Finance statements are migrating to online only. '' It states, "" we 're on a mission to deliver the best digital solutions for managing your finance account. As part of this journey, we 're moving to paperless-only statements for your account starting XXXX XXXX, XXXX. It explains how paperless statements work and then states "" If you 'd like to continue to receive your auto finance statements in the mail, you can manage your statement preferences at any time. '' It provides a link. Well, Capital One changed my statement preferences without my consent and thought that e-mail notification was sufficient. Do n't you have to opt-in to go paperless? Did they forget my rights under the E-Sign Act? I never consented to the change and now my account is past due and probably being reported to the credit bureaus as delinquent. I can only imagine how this change has impacted thousands of other consumers who rely on their paper statement to make timely payments and Cap One is benefiting from the late fee revenue. I am writing to the CFPB to determine if Cap One has violated my rights under the E-Sign Act and if they have not to question the impact of this business practice because it is definitely not consumer friendly. Some consumers like paperless and some of us do not but it should be my decision not the bank. I 've been a customer since XX/XX/XXXX and always had my statements mailed per my choice and now they are going to remove that choice and the tell me if I want to go back to paper just change my preferences. Is this ridiculous or what. I am angry and amazed that management at Capital One would approve this change. 
",Capital One,NJ,-0.0404761904762
19647,19647,19647,Credit card,Transaction issue,"There were charges made at XXXX stores using my credit card which I did not make. I do not make purchases for those amounts anywhere. I rarely shop at XXXX and when I do, I do it online. The fraud department for my credit has advised me to contact the police and file a report. The charges were made on a another credit card not the XXXX XXXX XXXX. Although I do own one I do n't use it. I have been in contact with Capital One which was the credit card that was used. They cancelled that card and gave me a new credit card number since then. 
",Capital One,TX,0.345454545455
19757,19757,19757,Credit card,Billing disputes,"I was charged {$26.00} by a merchant. I did not receive any supporting documentation for this charge. After contacting the merchant and asking for supporting documentation, I was told that the merchant had none. However, the merchant still refused to refund my money. 

I filed a dispute with card issuer, Capital One. They initially credited the amount and asked for more documentation. I filled out the documentation and sent it back. 

Without contacting me, Capital One rebilled the {$26.00}. I contacted them, and they refused to reopen the dispute. Capital One claimed that in order to win the dispute, I needed to provide a receipt from the vendor showing an amount different than {$26.00}. I explained that I received no such receipt from the vendor at all, which was the issue in the first place. The vendor should have to provide documentation for the charge in order to win the dispute. 

Capital One admitted to not conducting an investigation with the merchant or even contacting the merchant at all. They simply applied the charge because I could not prove a negative ( i.e. provide a receipt which did not exist in the first place ). This is in breach of their duty to conduct an investigation of the dispute. 
",Capital One,PA,0.228571428571
19774,19774,19774,Credit card,Credit line increase/decrease,"I have a CapitalOne XXXX Credit Card. I have had the credit card account for 11 years. I have never been late on the account and payoff the balance each months. I use the account frequently because of the cash back feature. I recently requested a credit line increase and was notified that the request was denied based on "" Your financial obligations reported to us by the credit reporting agency are too high ''. I contacted CapitalOne at their customer service number and the agent told me that she could not provided any additional information on the denial. I asked her who could and she said she could transfer me to a supervisor which I requested she do. She transferred the call to XXXX XXXX ID # XXXX. I spoke to XXXX and he told me that the decision was based on the credit bureau and could not provide me with any additional information. I asked to talk to someone who could provide additional information and he informed me that he was as high as I could go as far as speaking with someone. I asked to speak to someone in their compliance/complaint department and he said that was not possible. He said he would make notes of our conversation and they would be reviewed. He reiterated that the decision was based on the credit bureau. Having credit underwriting experience, I told him that the decision is made by the credit grantor and all the credit bureau did was report a personal credit history and outstanding debt. I said I wanted to talk to someone and have the opportunity to provide detailed income and asset information. He said that was not possible unless CapitalOne requested it from me. I feel that I 'm being discriminated for a credit line increase because I pay my account in full each month and CapitalOne has never made any interest income from me. In addition they have paid several hundred dollars in cash back rebates to me over the years.",Capital One,IL,0.091875
19787,19787,19787,Debt collection,Cont'd attempts collect debt not owed,"for the last month I 've received in the area of XXXX phone calls a day from capital one auto-finance ( XXXX ) asking for someone by the name of XXXX. this is not me. I have told this to them at least 20 times. they still refuse to stop calling me. it is taking time away from my employment and costing me money. is n't there a law in place to protect people from harassment from these companies. any help with this matter would be much appreciated. 
",Capital One,CA,-0.0333333333333
19789,19789,19789,Credit card,APR or interest rate,"I have a XXXX Capital One Credit Card with a {$7500.00} cash advance limit and recently got XXXX checks in the mail with a promotional offer of 0 % for 12 months. That means that I can write out XXXX checks up to {$7500.00} and not pay interest on that {$7500.00} for 12 months! Only catch - the checks have to post by XXXX/XXXX/2016 and there is a 2 % fee for each transaction. FYI - this was all the information that was in large font with the checks. Great deal and just in time for XXXX shopping right!? ... ... ... WRONG! Feeling like this was too good to be true I did some digging online. Let say I had a {$0.00} balance on my card and never used it again during these next 12 months and only owed the {$7500.00} cash advance from the promotional check - all fine an dandy! I would have 12 months interest free to pay off the {$7500.00}! BUT, lets say I did grocery shopping and made an additional {$150.00} purchase after the check has posted to my account ... ... The new purchase would NOT have the 12 month period and would have the regular APR of 23 %. If I were to pay the {$150.00} at the end of the month to pay off the new purchases in full, it would automatically deduct {$150.00} from the {$7500.00} cash advance I took and NOT the new purchases. Meaning, all new purchases would be hit with a 23 % APR until the {$7500.00} cash advance was paid first ... ..If you understand the math this could be devastating if you did n't catch this in time and continue to make purchases on your CC ... You always hear about how Banks are shady but this is truly disgusting - baiting people into a financial trap knowing XXXX well it will be too late once they realize that they got themselves into.",Capital One,VA,0.0588631854257
20094,20094,20094,Credit reporting,Unable to get credit report/credit score,"probably XXXX 6 years ago the credit bureau said I owed money on a capitol one credit card. I have never had a capitol one credit card also they said I had a XXXX credit card which I purchased a computer. I have n't signed up for a credit card thru XXXX. I have n't had a computer for probably XXXX or 7 years 
",Capital One,PA,0.0
20097,20097,20097,Bank account or service,Problems caused by my funds being low,"On or around XXXX XXXX, 2016, I, XXXX XXXX, initiated in-house transfers from my Capital One checking account to go into my Capital One 360 Accounts ( XXXX PEO 360 account and XXXX Retail 360 account ). I have had these XXXX accounts with Capital One for approximately two years ( as well as the checking account ). XXXX account was used to fund my XXXX retirement account and the XXXX 360 account was intended to be a savings account. Both of these accounts was first funded by a checking account that I had with XXXX. I later opened the Capital One checking account and the XXXX 360 accounts was recurrently funded by the Capital One checking account. I was positively making deposits into both accounts successfully for a while. I came into some financial difficulties and it became that I was not having the funds available from the XXXX account nor the Capital One checking account. When this happened I would receive an email from Capital One that the funds was not available and the transaction could not be performed. Never was there an NSF attached to this issue. Due to the recurrent notice of unable to perform the transactions, I stopped the recurrent transfers. My intent was to deposit the funds as I received them ( available ). In the past recent months, this has proven to be unsuccessful. On the XXXX of XXXX, I decided to give the recurring transfers another try, in a attempt to see if this would aid me in making those funds available. The first transfer was scheduled to happen on Friday XXXX XXXX, 2016. I was aware of the funds not in the account. However, under the understanding of the present and past history, I understood that the transactions would not be made. On Saturday when I checked my account, there was a $ XXXX deficiency. Capital One transferred {$25.00} per 360 account and charged a {$35.00} NSF for both accounts. I spoke with several customer service agents at Capital One Bank and 360 representative. I stated that this was a in-house transaction that did not have to be performed because the funds was not available. As a precedent, this action would not have been performed. The XXXX rules states that ACH transactions are those of Direct Deposit or transactions on a payment. The transfers that Capital One performed was neither of these XXXX rules. Capital One did not lose on the transaction, they put funds back into their own door ; of which would be for their use. I instructed each representatives of whom I spoke to on Saturday XXXX/XXXX/2016 to return the funds back to the checking account and close the XXXX 360 accounts. They refused to do so. The funds was posted into my accounts on this day XXXX/XXXX/2016 and was available for dispute. However, Capital One failed to allow me to dispute these transactions. Please see attach transaction information showing funds not available and no NSF attach to the precedents. The representative for the 360 accounts stated that 360 does not have NSF fees associated with those account. Therefore, Capital One can not ethically initiate NSF on funds that are 360 funds. 
",Capital One,MD,0.0483542319749
20225,20225,20225,Credit card,Closing/Cancelling account,"I applied for, and received, on XXXX XXXX, 2016, a Capitol One Platinum MasterCard, credit limit set at {$300.00}. I activated the account on-line immediately. I first attempted to utilize the card on XXXX XXXX, 2016 for a purchase slightly over {$10.00}. The card was declined. When I checked the account on-line, it showed the account as restricted. I contacted Capitol One by telephone on the morning of XXXX XXXX, 2016, and was told ( by XXXX ) there had been fraudulent activity on the account, and he acknowledged the attempted {$10.00} purchase. After thirty minutes without resolution, I requested a call back if there was resolution, and XXXX requested my telephone number. I did not receive a call. XXXX minutes later I used the Capital One on-line chat feature to request ( agent XXXX ) cancellation of the card. I was told I would have to call Capital One. I explained I had spoken to them for thirty minutes just earlier without any solution or resolution. I explained I considered the account closed and would not be utilizing it, would not accept responsibility for any charges, and would send written request to Capital One with a transcript of our chat. XXXX provided me with their mailing address. We concluded the conversation. 
",Capital One,WA,-0.00277777777778
20227,20227,20227,Credit card,Credit card protection / Debt protection,"Capital one has placed outdated collection information on my credit report, concerning the Payment protection settlement agreements. I never received compensation for the XXXX account I held with Capital One, concerning the Payment protection add on services. When I notified the previous debt collection company that they were violation of the Settlement agreement administrative proceeding file number XXXX and The FCRA laws by contacting me regarding the debt which arose from not being able to use Payment Protection on the Capital One cards,. I asked the firm who contacted which stated Captial one transferred the debt to them and I asked for information on the transfer process and was not given any information, on how the debt was obtained. XXXX, XXXX, XXXX, XXXX XXXX XXXX, XXXX/Capital One then started a lawsuit against me for not paying the debt in Nevada State court when it should have been filed in Nevada Federal Court, concerning the original settlement agreement administrative proceeding file number XXXX and CASE NO. : XXXX. I explained and the debt demonstrated that I was protected under the class action lawsuit, so this should have occurred. The attorney should be sanctioned for not filling the case in Federal Court because it seems they were deliberately trying to hide the fact that I am a class action member and they did not care about the prior settlements XXXX prior settlements. I was told we must go into arbitration in the original terms and conditions and this did not occur as well. case number - XXXX Nevada justice court. 
",Capital One,NV,0.0683333333333
20280,20280,20280,Bank account or service,Using a debit or ATM card,"Someone was able to get my social security number, call my bank posing as me, have a new card sent to them in a state in which I do n't live, transfer money from 1 account to another over the phone, and then go on a shopping spree. CapitalOne bank never went through additional security challenges in spite of the fact that the address given to them was NOT in their file and by looking at my statement, transactions were made in another state ( my state ) the day before. I really think there should be some extra security before getting a new card and cancelling an existing one. Not just birthday and social security number ( both of which can be had ). 
",Capital One,MD,0.14696969697
20343,20343,20343,Credit card,Other,"In 2011, I received a refund from XXXX for unsatisfactory services to my credit card. When the refund was placed back to my account ending in XXXX, Capital One charged me back for the money. I would like the money returned to me, as I won my dispute with XXXX and am entitled to it. 
",Capital One,NY,0.0
20345,20345,20345,Credit card,Billing disputes,"On XXXX/XXXX/16 I purchased a shake sample with no contract or commitment. It said if cancelled within 13 days there would not be an auto ship. I cancelled the next day. I have a XXXX. I sent a email to the company the very next day and had confirmation that it was cancelled. The company billed me anyway. I made a mistake by filling a dispute with Capitol One as apposed to contacting the company. Despite my proof that I was NOT in the wrong, Capitol One re-billed the charge almost immediately. I spent 50 days and numerous hours trying to contact my "" specialist '' whom I never was able to reach. I was lied to, told the dispute was not closed while I was getting letters saying the closed my case. I was reduced to tears and felt help helpless. I finally called the company. I was crying. They said they could n't believe Capitol One has put me through this ordeal as they could see that I was not in the wrong and they apologized profusely. They said since it was in a depute process, they could n't help. I contacted Capitol One again to learn that they refused to help me ... 
",Capital One,OH,-0.0772727272727
20351,20351,20351,Bank account or service,"Account opening, closing, or management","I maintained an account with Capital One 360, an online bank. On or around XX/XX/2016 they informed me that they were closing my account and would be mailing me a check for the funds remaining in the account within 10 business days. I have called them once a week since then or approximately 10 times and the funds are still sitting in my frozen account with no indication when they will be released.",Capital One,CT,-0.4
20375,20375,20375,Credit card,Closing/Cancelling account,"I submitted a complaint a few weeks ago ; however, it was not resolved. Capital One 's executive offices contacted me ; however, they refused to work with my temporary hardship. After I explained what had happened after they asked what had caused this hardship ( a transition to a new career due to medical reasons, as well as a XXXX that was not covered under my insurance ), they put me on a brief hold and came back to offer me nothing. My current interest rate is 21.15 % on a balance of {$16000.00}. Interest each month is near {$200.00}. I explained that I am in training pay mode in my new job ( auto sales ) and make minimum wage, less than $ XXXX, gross. My mortgage on my house alone is {$1700.00}. It 's simple math. I make less than my mortgage payment, which leaves nothing for credit card debt, my car payment, electrical, etc. I had previously taken a high interest rate ( 14 % ) loan with XXXX, and retained half of that to stay current with at the least my mortgage and auto payment. I explained to the man that I in no way want to shun my obligations ; however, I would appreciate some help till I get on my feet again. Any chances I had at obtaining a personal loan had been abolished by Capital One 's sudden closing of four of my accounts without one missed payment, as well as XXXX with XXXX balance. They shut them down for "" charges not consistent '' for what they expect. Within a week of their dropping {$27000.00} in credit, my credit score plummeted into the XXXX from the XXXX. I did nothing wrong! Within a few months I will be switched to commission and hopefully my income will increase substantially. All I asked was a reduction in interest while I am in the transition mode, which would be hopefully no more that 6 months. I can not understand why they could not grant this request when I have been a perfect customer for years with Capital One bank. My complaint is that they single-handedly destroyed my credit in one sweep, and now they refuse to lower my interest rate for a brief period of time. I was not asking them to excuse my debt. I am completely aware of debt relief agencies -- they advertise constantly -- however, I was trying to handle this the responsible way. I do not want to be forced into bankruptcy ; however, this bank has ruined my credit by suddenly closing four accounts for a bogus reason, and refusing to reduce my interest rate in return for their damage. Previously I had equity in my home I could draw from, now there is zero chance of that thanks to Capital One. Capital One reached out to me after filing the first complaint ; however, they offered no resolution at all. They should be held accountable for this kind of abuse. Again, I am asking for the same thing. In a good faith effort, I made the {$320.00} minimum payment after I was turned down by this representative.",Capital One,NY,-0.0113190039934
20432,20432,20432,Credit card,Billing disputes,"Capital One purchased my account from another company and then claimed that I made a late payment with them, but I did not have this account with Capital One at the time they are reporting a late payment. Now that I have disputed this account, they have reported a disagreement code with a resolution of dispute to all of the credit bureaus without my permission. This has blemished my credit report further. 
",Capital One,GA,-0.2
